"구분","분류","명칭","코드","비고","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"[행위]검사료","신경기능검사","신경인지기능검사 개별검사 유형3(보스톤사물이름대기검사-60문항)","FB030020","신경인지기능검사","29940","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-개별검사-유형Ⅲ-위스콘신카드분류검사","FB03003","신경인지기능검사","29940","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-개별검사-유형Ⅲ-표정인식력(재인)검사","FB03004","신경인지기능검사","29940","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-개별검사-유형Ⅳ-서울언어학습검사","FB040010","신경인지기능검사","51330","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-개별검사-유형Ⅳ-벤톤 신경심리검사","FB040020","신경인지기능검사","51330","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-개별검사-유형Ⅲ-레이복합도형검사","FB030010","신경인지기능검사","29940","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-개별검사-유형Ⅵ-웨스턴 실어증 검사","FB060010","신경인지기능검사","83820","","","","",""
"제증명수수료","","진료기록사본(6매이상, 매당)","AQB00102","진료기록사본(기본5부초과 매당)","100","","","","","20170921~ 200원에서 100원으로 변경"
"제증명수수료","","진료확인서","AQA02401","진료확인서","3000","","","","",""
"제증명수수료","","장애인증명서","AQA01901","장애인증명서","1000","","","","","20170921~ 20000원에서 1000원으로 변경"
"제증명수수료","","진료기록사본(기본5부, 매당)","AQB00101","진료기록사본(기본5부, 매당)","1000","","","","","20180101"
"제증명수수료","","채용신체검사서(공무원)","AW400601","채용신체검사서(공무원)","40000","","","","",""
"제증명수수료","","채용신체검사서(일반)","AW400602","채용신체검사서(일반)","30000","","","","",""
"[행위]검사료","항CCP항체","Anti CCP Ab(Anti-Cyclic Citrulinated Peptide","CZ432","","25300","","","","",""
"약제","","로와콜연질캅셀","659900050","","347","","","","",""
"약제","","아젤리아크림 -30g","674900100","","7470","","","","",""
"약제","","베스타제 당의정(동아)","642502030","","21","","","","",""
"약제","","삐콤정(유한양행)","642100700","","12","","","","",""
"약제","","플로실 헤모스태틱 매트리스","646601400","","233386","","","","",""
"약제","","F-18-FP-CIT (동위원소)-5mci","684100070","","352400","","","","",""
"치료재료","상처고정용및보호용","Mepitel 5*7.5cm","BM2001JQ","","","5280","17600","","","7.5*10cm,10*18cm,5*7.5cm"
"치료재료","의약품 주입여과기","SAFELOCK FILTER LINE SET","BM1304WW","","4700","","","","",""
"치료재료","경막외강 신경박리술용","NAVICATH STEERABLE CATHETER","BJ4801ZO","","703278","","","","",""
"치료재료","레볼루션 카테터","REVOLUTION　IVUS","BJ4502JT","","1419830","","","","",""
"치료재료","CHEST BOTTLE","PLEUR-EVAC CHEST DRAINAGE SYSTEM S-1100 SERIES","BK3024BN","","67000","","","","",""
"치료재료","OSTOMY용 ACCESSORY","CONVACARE PROTECTIVE BARRIER WIPES","BL3001BQ","","334","","","","",""
"치료재료","경막외강 신경박리술 및 감압 신경성형술용","BIOVISION","BJ4802IU","","703278","","","","",""
"치료재료","경막외강 신경박리술용","ST REED","BJ4801RA","","489832","","","","",""
"치료재료","고주파 설근부 축소술용","COBLATION REFLEX ULTRA WAND","BI0601AD","","399604","","","","",""
"치료재료","고주파 정맥내막폐쇄요법용","VNUS CLOSURE FAST","BJ4301DU","","880000","","","","",""
"치료재료","동종진피(IMPLANT용)","MEGADERM","BTS01019","","","89559","109461","","","10*20 , 15*25mm"
"치료재료","발톱고정용 재료","K-D CLAMP","BC1301PE","","132000","","","","",""
"치료재료","배액관 고정용판","SPIDER FX EMBOLIC PROTECTION DEVICE","BJ1001XV","","8600","","","","",""
"치료재료","불투명.투명멸균드레싱 재료(단순, 건조드레싱류)","STERI STRIP REINFORCED SKIN CLOSURER1541","BM5003EM","","","900","1600","","","R1541 ,R1547"
"치료재료","불투명.투명멸균드레싱 재료(단순, 건조드레싱류)","엘라반멸균반창고","BM5008JK","","1220","","","","",""
"치료재료","이물제거용","GUNTHER TULIP FILTER RETRIEVAL SET","BJ5001OQ","","550000","","","","",""
"치료재료","인체조직유래 2차 가공뼈","DBX PUTTY","BC0101AT","","","278000","846000","","","1CC,2.5CC,0.5CC"
"치료재료","인체조직유래 2차 가공뼈","BONGENER","BC0102QT","","","363000","810000","","","1CC,2.5CC"
"치료재료","인체조직유래 2차 가공뼈","DYNAGRAFT Ⅱ","BC0202IE","","","363000","810000","","","Dynagraft II Putty 종류차이"
"치료재료","자착성(탄력)붕대","3M COBAN SELF-ADHERENT WRAP","BK7101EA","","1700","","","","",""
"치료재료","자착성(탄력)붕대","CEB IDEAL COHESIVE","BK7101IK","","13950","","","","",""
"치료재료","지속적 대퇴신경차단술(CONTINUOUS FEMORAL NERVE BLOCK)","CONTIPLEX TUOHY SET","BJ4802BP","","70000","","","","",""
"치료재료","지속적 사각근간 상박신경총 통증자가조절법(어깨 및 상완골 수술)","CONTIPLEX TUOHY SET","BJ4831BP","","70000","","","","",""
"치료재료","창상봉합용 액상접착제","HISTOACRYL 1050060","BB3001BP","","45000","","","","",""
"치료재료","창상피복제","NASOPORE","BM2201IE","","","85360","128040","","","(standard,forte)"
"치료재료","척추경막외 유착방지제","ADCON-GEL","BF0101AY","","640000","","","","",""
"치료재료","척추고정용","DISCOCERV","BF0001DB","","4300000","","","","",""
"치료재료","척추고정용","MOBI-C WITH PLUG & FIT","BF0001KV","","4170000","","","","",""
"치료재료","척추고정용","MOBI-C","BF0002GZ","","3479633","","","","",""
"치료재료","척추고정용","PRODISC-C","BF0004AT","","4169455","","","","",""
"치료재료","척추극돌기간고정용","DIAM","BF0402AW","","2680010","","","","",""
"치료재료","추간판내 고주파 열치료술","양극성 겸자(CVG101)","BF0201GT","","1600000","","","","",""
"치료재료","혈관 중재적 시술후 지혈용","QUIKCLOT INTERVENTIONAL HEMOSTATIC BANDAGE","BJ7001LQ","","90000","","","","",""
"치료재료","혈관중재적시술용","GUIDEZILLA GUIDE EXTENSION CATHETER(씨엔테크)","BJ6090BM","","580000","","","","",""
"치료재료","건조 드레싱류","제로이드인텐시브크림 80ml","BM5001HP","","22000","","","","",""
"치료재료","건조 드레싱류","제로이드인텐시브로션 200ml","BM5002HP","","26400","","","","",""
"치료재료","치과임플란트","Novel Guide(FinishedSurgicalTemplat","","","1500000","","","","",""
"치료재료","치과임플란트","Implant, abutment change, A, Mat","","","200000","","","","",""
"치료재료","치과임플란트","Implant, abutment change, B, Mat","","","400000","","","","",""
"치료재료","치과임플란트","Implant, Magnetic change, Mat","","","200000","","","","",""
"치료재료","치과임플란트","Implant, Cr. Remake fee, A, Mat","","","100000","","","","",""
"치료재료","치과임플란트","Overdenture clip change, Mat","","","10000","","","","",""
"치료재료","치과임플란트","Pressure Injection Resin System","","","100000","","","","",""
"치료재료","치과임플란트","Hard resin, ant. Teeth, Mat","","","20000","","","","",""
"치료재료","치과임플란트","Implant, UCLA screw change, Mat","","","50000","","","","",""
"치료재료","치과임플란트","Hard resin, post. Teeth, Mat","","","30000","","","","",""
"치료재료","치과임플란트","Novel Guide(FinishedSurgicalTemplate1-4Implants)","","","1000000","","","","",""
"치료재료","치과임플란트","R.D, Magnetic change, Mat","","","150000","","","","",""
"치료재료","치과임플란트","Overdenture O-ring change, Mat","","","20000","","","","",""
"치료재료","치과임플란트","Implant, Cr. Remake fee, B, Mat","","","200000","","","","",""
"치료재료","치과임플란트","Konus Telescopic Milling fee","","","100000","","","","",""
"치료재료","치과임플란트","Implant, coping screw change, Mat","","","30000","","","","",""
"치료재료","치과임플란트","R.D, Attachment Change, Mat","","","150000","","","","",""
"치료재료","치과임플란트","ANGLED ABUTMENT(EZ/ME) 지대주","L7553020","","92390","","","","",""
"치료재료","치과임플란트","EZ POST (RE) 지대주","L7552039","","42749","","","","",""
"치료재료","치과임플란트","RESUME External Fixture( 고정체)","L7501040","","57274","","","","",""
"치료재료","치과임플란트","S-CLEAN(CLEAN,ONEQ)-HA","L7503001","","145522","","","","",""
"치료재료","치과임플란트","S-CLEAN(CLEAN ONE Q)-HA고정체(덴티스)","L7553001","","150327","","","","",""
"치료재료","치과임플란트","Rescue Fixture고정체(메가젠)","L7501040","","57274","","","","",""
"치료재료","치과임플란트","Ez post cemented type지대주(메가젠)","L7552039","","42749","","","","",""
"치료재료","치과임플란트","Tapered Screw - Vent Tutoplast pericadium 15X15","","","142392","","","","",""
"치료재료","치과임플란트","Tapered Screw - Vent Tutoplast pericadium 20X30","","","180363","","","","",""
"치료재료","치과임플란트","Tapered Screw - Vent Tutoplast spongiosa microchip 0.5CC","","","118690","","","","",""
"치료재료","치과임플란트","Tapered Screw - Vent Tutoplast spongiosa microchip 1.0CC","","","213641","","","","",""
"치료재료","치과임플란트","Mega-Derm 15*25mm","","","109461","","","","",""
"치료재료","치과임플란트","Mega-Derm 10*20 mm","","","89559","","","","",""
"치료재료","치과임플란트","Bio-oss 0.5g","L7401221","","113300","","","","",""
"치료재료","치과임플란트","Endobon Xenograft 0.5ml","L7401055","","","60000","76060","","","0.2ml , 1.0ml"
"치료재료","치과임플란트","Bio-Gide 25*25","L7414221","","195700","","","","",""
"치료재료","치과임플란트","Bio-Gide 13*25","L7414220","","161450","","","","",""
"치료재료","치과임플란트","Bio-oss 0.25g","L7401220","","73854","","","","",""
"치료재료","치과임플란트","OSSEOGUARD MEMBRANE 15*20MM","BL702017","","","163766","205949","","","15*20MM, 20*30MM"
"치료재료","보형물","TESTICULAR IMPLANT","","","660000","","","","",""
"기타","월경조절술","Nova-T(노바티)","L8001001","","44000","","","","",""
"약제","","제니칼","645000380","","0","","","","","원외처방"
"약제","","시알리스정 20mg/Tab 한국릴리","670800110","","","","","","","원외처방"
"약제","","리덕틸캅셀10mg(한국애보트)","644200190","","0","","","","","원외처방"
"약제","","리덕틸캅셀15mg(한국애보트)","644200200","","0","","","","","원외처방"
"약제","","엠빅스정 100mg(SK케미칼)","644701810","","0","","","","","원외처방"
"약제","","엠빅스정 50mg(SK케미칼)","644701820","","0","","","","","원외처방"
"약제","","싸이트로핀에이카트리지주 30IU","667200040","","0","","","","","원외처방"
"약제","","Varenicline 0.5mg(한국화이자)-금연","648900910","","0","","","","","원외처방"
"약제","","Varenicline 1mg(한국화이자)-금연","648900920","","0","","","","","원외처방"
"약제","","네노마정 15mg","670606490","","0","","","","","원외처방"
"약제","","박티그라","681800010","","1512","","","","",""
"약제","","에세푸릴현탁액","642201580","","7","","","","",""
"약제","예방접종-B형간염","헤파빅 200IU(1cc)(녹십자)","643601900","","32762","","","","Y",""
"약제","예방접종-인플루엔자","플루미스트인트라나잘스프레이/독감예방","643603700","","35000","","","","Y",""
"약제","","스파몬정/Tab (한림제약)","645300990","","23","","","","",""
"약제","","에스젠질크림","649802480","","1425","","","","",""
"약제","","콜크린액 90ml(태준제약)-건강검진용","650101100","","5000","","","","",""
"약제","예방접종-A형간염","이팍살베르나프리필드시린지12IU-A형간염","655800160","","40000","","","","Y",""
"약제","","환인키누프릴정 2.5mg(환인제약)","657200750","","21","","","","",""
"약제","","백색바세린 (성광)","657400590","","7","","","","",""
"약제","","칼라민로션(성광제약)","-","","8","","","","",""
"약제","","Bisacodyl 5mg (신일)","653801170","","0","","","","","원외처방"
"약제","예방접종-B형간염","유박스-B주10mcg/0.5ml","668900910","","18000","","","","Y",""
"약제","예방접종-사백신 일본뇌염","일본뇌염사백신주1ML","670500090","","20000","","","","Y",""
"약제","예방접종-홍역,볼거리,풍진","MMR2(홍역,볼거리,풍진)예방접종-MMR","655500270","","26000","","","","Y",""
"약제","예방접종-TD(만10세이상)","에스케이티디백신주(프리필드)","644701660","","30000","","","","Y",""
"약제","","트롬보젝주 3%","676800020","","31900","","","","",""
"약제","예방접종-DTaP ＆ Imovax혼합","인판릭스-DTap-IPV","650002730","","47000","","","","Y",""
"약제","","경피용비씨지백신(한국백신)","686500010","","60000","","","","Y",""
"약제","예방접종-A형간염","이팍살베르나프리필드시린지24IU-A형간염","655800050","","70000","","","","Y",""
"약제","","로타텍","655500030","","100000","","","","Y",""
"약제","예방접종-수막구균","멘비오--수막구균예방백신","653602320","","150000","","","","Y",""
"약제","예방접종-대상포진","조스타박스주","655500900","","190000","","","","Y",""
"약제","예방접종-B형간염","헤파박스진TF 1ml","668900920","","23000","","","","Y",""
"약제","예방접종-수두생백신","바리-엘백신주","650400010","","29000","","","","Y",""
"약제","예방접종-일본뇌염 생백신","씨디.제박스주","666700010","","35000","","","","Y",""
"약제","","메칠렌블루 주사1%(제이텍)","659600130","","8715","","","","",""
"약제","예방접종-백일해,디프테리아,파상풍","아다셀주(한독)-Tdap","665900110","","40000","","","","Y",""
"약제","예방접종-b형헤모필루스인플루엔자","유히브주","668901890","","41000","","","","Y",""
"약제","예방접종-DTaP ＆ Imovax혼합","테트락심-DTaP-IPV","665900120","","47000","","","","Y",""
"약제","예방접종-폐렴구균","프리베나13주(성인용)폐렴","648902270","","100000","","","","Y",""
"[행위]처치 및 수술료 등","비뇨기","음경주사 Test-비급여","","","5000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","정관복원술(오십만)-비급여","","","500000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","정관절제술 [결찰술]","","","200000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","포경수술(배면절개) 비급여","","","100000","","","","",""
"[행위]처치 및 수술료 등","비뇨기","포경수술(환상절개) 비급여","","","150000","","","","",""
"[행위]처치 및 수술료 등","여성 생식기, 임신과 분만","(비급여) 난관 결찰술","","","300000","","","","",""
"[행위]처치 및 수술료 등","여성 생식기, 임신과 분만","(비급여) 미레나 삽입술","","","90000","","","","",""
"[행위]처치 및 수술료 등","여성 생식기, 임신과 분만","소음순절제술(성형목적)","","","50000","","","","",""
"[행위]처치 및 수술료 등","여성 생식기, 임신과 분만","자궁내장치 [IUD] 재료대 별도산정","","","30000","","","","",""
"[행위]처치 및 수술료 등","여성 생식기, 임신과 분만","질 및 회음부 성형술 [대] 비급여","","","1000000","","","","",""
"[행위]처치 및 수술료 등","여성 생식기, 임신과 분만","질 및 회음부 성형술 [중]","","","800000","","","","",""
"[행위]처치 및 수술료 등","여성 생식기, 임신과 분만","질 및 회음부 성형술 [소]","","","500000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(두부및부비동)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(악관절)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(경추및상지)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(요천추및하지)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(흉추)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(유방)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(비뇨기과,생식기)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(복부)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(기타)","EZ776","","50000","","","","",""
"[행위]처치 및 수술료 등","외피,근골기능검사","적외선체열진단(전신)","EZ776","","100000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","기미,주근깨,점 제거술[중]-Size 0.3cm","","","10000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","기미,주근깨,점 제거술[소]-Size 0.2cm 이하","","","5000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL (얼굴전체) - 비급여","","","300000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL (이마제외 얼굴전체) - 비급여","","","200000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL (코주변만) - 비급여","","","100000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL (겨드랑이 양측-제모) - 비급여","","","150000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL(코밑수염제모-여자)1 회째","","","100000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL(코밑수염제모-여자) 2회째","","","50000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL(코밑수염제모-여자) 3회째","","","50000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","IPL (허벅지 양측-제모) - 비급여","","","300000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","박피술 [화학] [대]","","","100000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","박피술 [화학] [중]","","","50000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","박피술 [화학] [소]","","","30000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","Bleomycin 병변내 주입(대)-비급여","","","20000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","Bleomycin 병변내 주입(소)-비급여","","","10000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","사마귀제거 [대]사마귀 3개 이상인 경우 산정","","","10000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","사마귀제거 [대]사마귀 3개 미만인 경우 산정","","","5000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","여드름 치료(대)","","","10000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","여드름 치료(중)","","","5000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","여드름 치료(소)","","","3000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","메조테라피 (mesotherapy) 1회당","","","20000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","피부전기소작,냉동술(대)","","","100000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","피부전기소작,냉동술(중)","","","50000","","","","",""
"[행위]처치 및 수술료 등","피부 및 연부조직","피부전기소작,냉동술(소)","","","30000","","","","",""
"약제","","압노바비스쿰에프20mg주사액","665100070","","22820","","","","",""
"약제","예방접종-A형간염(소아용)","하브릭스주 0.5ml","650001940","","40000","","","","Y",""
"약제","","레비트라구강붕해정10mg","641105710","","0","","","","","원외처방"
"약제","","자이데나정50mg","642506310","","0","","","","","원외처방"
"약제","","엠빅스에스구강붕해필름50mg","644703730","","0","","","","","원외처방"
"약제","","제피드정100mg","644913320","","0","","","","","원외처방"
"약제","","제피드정200mg","644913330","","0","","","","","원외처방"
"약제","","프릴리지정30mg","646901090","","0","","","","","원외처방"
"약제","","프릴리지정60mg","646901100","","0","","","","","원외처방"
"약제","","시알리스정5mg","670800500","","0","","","","","원외처방"
"약제","","자이데나 200mg(동아)","642503030","","0","","","","","원외처방"
"약제","","자이데나 100mg(동아)","642503020","","0","","","","","원외처방"
"약제","","레비트라정 10mg(바이엘코리아)","641100030","","0","","","","","원외처방"
"약제","","레비트라정 20mg(바이엘코리아)","641100040","","0","","","","","원외처방"
"약제","","시알리스 10mg(한국릴리)","670800100","","0","","","","","원외처방"
"약제","","비아그라정 100mg(화이자)","648900400","","0","","","","","원외처방"
"약제","","레비트라정 5mg(바이엘코리아)","641100050","","0","","","","","원외처방"
"약제","","비아그라정 50mg(화이자)","648900390","","0","","","","","원외처방"
"[행위]자기공명영상진단료(MRI)","근골격계","천장골관절-일반","HE119","MRI Sacrum","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","천장골관절-조영제 주입 전/후 촬영판독","HE219","MRI Sacroiliac 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","슬관절-일반","HE120","MRI Knee","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","슬관절-조영제 주입 전/후 촬영판독","HE220","MRI Knee 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","발목관절-일반","HE121","MRI Ankle joint","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","관절외 상지-조영제 주입 전/후 촬영판독","HE222","MRI Upper extremity 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","관절외 하지-일반","HE123","MRI Lower extremity","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","관절외 하지-조영제 주입 전/후 촬영판독","HE223","MRI Lower extremity 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","기타","자기공명영상-외부필름판독","","외부필름판독료 MRI [건당]","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","부비동-조영제 주입 전/후 촬영판독","HE204","MRI PNS 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","안와-조영제 주입 전/후 촬영판독","HE205","MRI Orbit 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","측두골-일반","HE106","MRI Temporal bone","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","측두골-조영제 주입 전/후 촬영판독","HE206","MRI Temporal bone 조영제사용 -MRI IAC(internal auditory canals)","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","측두하악관절-일반","HE107","MRI TM joint","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","측두하악관절-조영제 주입 전/후 촬영판독","HE207","MRI TM joint 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","경부-일반","HE108","MRI Neck","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부","경부-조영제 주입 전/후 촬영판독","HE208","MRI Neck 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","복부-일반","HE127","MRI Abdomen","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","복부-조영제 주입 전/후 촬영판독","HE227","MRI Abdomen 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","골반-일반","HE128","MRI Pelvis","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","골반-조영제 주입 전/후 촬영판독","HE228","MRI Pelvis 조영제사용 |조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","췌장-일반","HE129","MRI Pancreas","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","췌장-조영제 주입 전/후 촬영판독","HE229","MRI Pancreas 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","신장 및 부신-일반","HE130","MRI Kidney and Adrenal","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","신장 및 부신-조영제 주입 전/후 촬영판독","HE230","MRI Kidney and Adrenal 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","음낭 및 음경-일반","HE131","MRI Penile and Scrotum","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","음낭 및 음경-조영제 주입 전/후 촬영판독","HE231","MRI Penile and Scrotum 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","간-일반","HE132","MRI Liver","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","간-조영제 주입 전/후 촬영판독","HE232","MRI Liver 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","담췌관-일반","HE133","MR Cholangiography [MRCP]","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","담췌관-조영제 주입 전/후 촬영판독","HE233","MRI Cholangiogram 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","전립선-일반","HE134","MRI Prostate","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","복부","전립선-조영제 주입 전/후 촬영판독","HE234","MRI Prostate 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","발목관절-조영제 주입 전/후 촬영판독","HE221","MRI Ankle joint 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","근골격계","관절외 상지-일반","HE122","MRI Upper extremity","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","경추-일반","HE109","MRI C-Spine","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","경추-조영제 주입 전/후 촬영판독","HE209","MRI Cervical 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","흉추-일반","HE110","MRI T-Spine","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","흉추-조영제 주입 전/후 촬영판독","HE210","MRI Thoracic 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","요천추-일반","HE111","MRI L-Spine","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","요천추-조영제 주입 전/후 촬영판독","HE211","MRI Lumbosacral spine 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","척추강-일반","HE112","MRI Spine Myelogram","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","척추","척추강-조영제 주입 전/후 촬영판독","HE212","MRI Myelogram 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","흉부혈관-일반","HE137","MRI Thoracic Angio","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","흉부혈관-조영제 주입 전/후 촬영판독","HE237","MRI Thoracic Angio 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","복부혈관-일반","HE138","MRI Abdominal Angio","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","복부혈관-조영제 주입 전/후 촬영판독","HE238","MRI Abdominal Angio 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
