"순번","행위구분","분류","명칭","코드","표준코드","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항","최종변경일"
"373","[행위]자기공명영상진단료(MRI)","MRI-특수검사","확산","HF101+HB021","RMHF101","238840","","","","","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"374","[행위]자기공명영상진단료(MRI)","MRI-특수검사","확산-기본검사 동시","HF201+HB021","RMHF201","134070","","","","","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"375","[행위]이학요법료(물리치료료)","이학요법","도수치료 [1일당]","MX122","FZ00400","60000","","","","","","2023-06-15"
"376","[행위]이학요법료(물리치료료)","이학요법료","비침습적 무통증 신호요법","MZ012","FZ02200","100000","","","X","X","","2020-01-31"
"377","[행위]이학요법료(물리치료료)","","신장분사치료(1일당)","MZ007","FZ02100","18000","","","","","","2020-01-31"
"378","[행위]이학요법료(물리치료료)","언어치료","언어장애치료(인지장애동반)","MZ006","SZ03403","10000","","","","","","2020-01-31"
"379","[행위]이학요법료(물리치료료)","언어치료","언어장애치료/기본30분까지","MZ006","SZ03401","35000","","","","","","2020-01-31"
"380","[행위]이학요법료(물리치료료)","언어치료","언어장애치료/초과10분당","MZ006","SZ03402","10000","","","","","","2020-01-31"
"381","[행위]이학요법료(물리치료료)","이학요법료","전산화 인지재활치료[주의·기억]","MZ009","FZ01600","35000","","","X","","","2020-01-31"
"382","[행위]이학요법료(물리치료료)","이학요법","증식치료(사지관절부위)","MY142","FZ01301","50000","","","","","","2023-06-15"
"383","[행위]이학요법료(물리치료료)","이학요법","증식치료(척추부위)","MY143","FZ01302","50000","","","","","","2023-06-15"
"384","[행위]정신요법료","","광치료","NZ001","GZ00700","15000","","","","","","2020-01-31"
"385","[행위]정신요법료","","안구운동 민감소실 및 재처리요법","NZ005","GZ00600","150000","","","","","","2020-01-31"
"386","[행위]처치 및 수술료 등","처치 및 수술료(기타)","경두개 자기자극술(반복적)","QZ962","HZGT01100","60000","","","","","","2020-01-31"
"387","[행위]처치 및 수술료 등","처치 및 수술료(신경)","경피적 경막외강 신경성형술","SZ634","HZNS00500","700000","","","","","","2020-01-31"
"388","[행위]처치 및 수술료 등","처치 및 수술료(신경)","경피적 풍선확장 경막외강 신경성형","SZ641","HZNS00700","300000","","","","","","2020-01-31"
"389","[행위]처치 및 수술료 등","치과 처치· 수술료","광중합형 복합레진 충전 (1치당 1면, 2면, 3면이상)","U0239-U0241","JU0239,JU0240,JU0241","80000","","","","","","2020-01-31"
"390","[행위]처치 및 수술료 등","처치 및 수술료(신경)","내시경적 경막외강 신경근성형술","SZ631","HZNS00800","500000","","","X","","진료과 : 신경외과, 정형외과, 마취통증의학과","2020-01-31"
"391","[행위]처치 및 수술료 등","","양수및융모막검사를위한 검사채취(검사료별도)","","SZ03200","300000","","","","","","2020-01-31"
"392","[행위]처치 및 수술료 등","처치 및 수술료(근골)","체외충격파치료[근골격계질환]","SZ084","HZRM00200","70000","","","","","","2023-06-15"
"393","[행위]처치 및 수술료 등","처치 및 수술료(근골)","추간판내고주파열응고술 [Nucleoplasty]","SZ083","HZOS00100","700000","","","X","","","2020-01-31"
"394","[행위]처치 및 수술료 등","피부 및 연부조직","피부 국소 광역동 치료","SZ034","HZDE02701-05","","10000","150000","","","Topical Photodynamic Therapy for Skin Cancer E","2020-01-31"
"395","[행위]처치 및 수술료 등","처치 및 수술료(순환기)","하지정맥류 고주파정맥내막폐쇄술","OY201,OY202","HZGS00100A/HZGS00100B(양측)","800000","800000","1300000","X","","양측-1,300,000원","2020-01-31"
"396","[행위]처치 및 수술료 등","처치 및 수술료(순환기)","하지정맥류레이저정맥폐쇄술","OZ304","HZCS00400","1000000","","","X","","","2020-01-31"
"397","[행위]치과 처치 및 수술료","","Cornus Denture(내관 & 외관)","","JM0052T","500000","","","","","","2020-01-31"
"398","[행위]치과 처치 및 수술료","","Laser 미백치료(1치당)","","JM0049T","50000","","","","","","2020-01-31"
"399","[행위]치과 처치 및 수술료","","Laser 충치예방치료(1치당)","","JM0048T","10000","","","","","","2020-01-31"
"400","[행위]치과 처치 및 수술료","","Milling 비","","JM0053T","100000","","","","","","2020-01-31"
"401","[행위]치과 처치 및 수술료","","Resin facing 수리 (1치당)","","JM0026T","50000","","","","","Resin facing repair (1치당)","2020-01-31"
"402","[행위]치과 처치 및 수술료","치석제거","Scaling 치석제거[전악]","UW3021047","JM0047T","80000","","","","","","2020-01-31"
"403","[행위]한방 시술 및 처치료","약침술","약침술","490100000","ZZ00200","15000","","","X","O","약침액명(오공약참액, 소염약침액, 척유약침액)","2021-06-03"
"404","[행위]한방 시술 및 처치료","자율훈련법","자율훈련법","591040000","ZZ00100","30000","","","X","X","","2021-06-03"
"405","[행위]치과 처치 및 수술료","","골 이식술","","JM0043T/JM0044T","","200000","1000000","","","bone graft","2020-01-31"
"406","[행위]치과 처치 및 수술료","","골증대술","","JM0082T","500000","","","","","","2020-01-31"
"407","[행위]치과 처치 및 수술료","","광중합 G.I 충전","","JM0003T","80000","","","","","Light curing G.I filling","2020-01-31"
"408","[행위]치과 처치 및 수술료","광중합형 복합레진충전-마모","Light curing G.I filling(광중합 G.I 충전)","UZ0050001","JM0003T","80000","","","X","X","","2021-06-03"
"409","[행위]치과 처치 및 수술료","광중합형 복합레진충전-파절 등","Light curing G.I filling(광중합 G.I 충전)","UZ0050002","JM0003T","80000","","","X","X","","2021-06-03"
"410","[행위]치과 처치 및 수술료","","교정 월정비","","JM0046T","60000","","","","","Orthodontics, Morthly fee","2020-01-31"
"411","[행위]치과 처치 및 수술료","","교합안정장치 관리","","JM0024T","30000","","","","","Occlusal splint 관리","2020-01-31"
"412","[행위]치과 처치 및 수술료","","교합안정장치(1악당), 단순","","JM0023T","300000","","","","","Occlusal splint (1악당), simple","2020-01-31"
"413","[행위]치과 처치 및 수술료","","구강 검사및 상담","","JM0027T","30000","","","","","Oral exam, consult.","2020-01-31"
"414","[행위]치과 처치 및 수술료","","구취측정검사","","JM0050T","30000","","","","","","2020-01-31"
"415","[행위]치과 처치 및 수술료","","기성금관","","JM0051T","60000","","","","","Sp cr","2020-01-31"
"416","[행위]치과 처치 및 수술료","","나선형 합정","","JM0006T","70000","","","","","Screw post","2020-01-31"
"417","[행위]치과 처치 및 수술료","","레이져 솔더","","JM0056T","60000","","","","","Laser Solder","2020-01-31"
"418","[행위]치과 처치 및 수술료","","레진 가공 의치 (1치당)","","JM0014T","30000","","","","","Resin temporary crown","2020-01-31"
"419","[행위]치과 처치 및 수술료","","모형 분석용 인상/1악당","","JM0022T","30000","","","","","Study impression/1악당","2020-01-31"
"420","[행위]치과 처치 및 수술료","","보격장치(가철식)","","JM0086T","100000","","","","","","2020-01-31"
"421","[행위]치과 처치 및 수술료","","보격장치(고정식)","","JM0085T","50000","","","","","","2020-01-31"
"422","[행위]치과 처치 및 수술료","","보철 치료(CHECK UP)중","","JM0083T","10000","","","","","","2020-01-31"
"423","[행위]치과 처치 및 수술료","","불소 도포 (1악당)","","JM0025T","100000","","","","","Fluorid therapy (1악당)","2020-01-31"
"424","[행위]치과 처치 및 수술료","","서지컬 스텐트(수술용 스텐트)","","JM0062T/JM0063T","","50000","100000","","","Surgical stent,(임플란트)","2020-01-31"
"425","[행위]치과 처치 및 수술료","","심미 레진 충전","","JM0002T","250000","","","","","Esthetic resin filling","2020-01-31"
"426","[행위]치과 처치 및 수술료","치과 처치 및 수술료","악안면골재건정복술","","JM0073T-JM0077T","","1000000","5000000","","","MANDIBULAR RECONSTRUCTION","2020-01-31"
"427","[행위]치과 처치 및 수술료","","악안면기형안골교정술","","JM0078T/JM0079T/JM0080T/JM0081T","","1000000","4000000","","","FIXED ORTHODONTIC TX A","2020-01-31"
"428","[행위]치과 처치 및 수술료","","안면 체형","","JM0015T","200000","","","","","Face mask impression","2020-01-31"
"429","[행위]치과 처치 및 수술료","","유구치 가공 치관","","JM0021T","150000","","","","","S.S crown","2020-01-31"
"430","[행위]치과 처치 및 수술료","","의치 직접 이장술","","JM0010T/JM0011T","","100000","150000","","","Direct denture reline","2020-01-31"
"431","[행위]치과 처치 및 수술료","","의치수리","","JM0008T/JM0009T","","50000","100000","","","Denture repair","2020-01-31"
"432","[행위]치과 처치 및 수술료","","임시 의치, 단순","","JM0013T","50000","","","","","Flipper (simple)","2020-01-31"
"433","[행위]치과 처치 및 수술료","","임플란트 2차 수술","","JM0058T/JM0059T/JM0060T","","100000","500000","","","Implant second surgery","2020-01-31"
"434","[행위]치과 처치 및 수술료","","임플란트 주위염 치료","","JM0057T","100000","","","","","Peri implantitis treatment","2020-01-31"
"435","[행위]치과 처치 및 수술료","","임플란트목적 레이저치료","","JM0064T","100000","","","","","","2020-01-31"
"436","[행위]치과 처치 및 수술료","","임플란트목적/상악동거상술(편측)","","JM0065T","300000","","","","","","2020-01-31"
"437","[행위]치과 처치 및 수술료","","임플란트목적/상악동거상술,측방접근","","JM0054T/JM0055T","","1000000","1500000","","","","2020-01-31"
"438","[행위]치과 처치 및 수술료","","임플란트목적/하치조측방전위술(양측)","","JM0067T","1500000","","","","","","2020-01-31"
"439","[행위]치과 처치 및 수술료","","임플란트목적/하치조측방전위술(편측)","","JM0066T","1000000","","","","","","2020-01-31"
"440","[행위]치과 처치 및 수술료","","잇솔질 교습, 회당","","JM0018T","30000","","","","","T.B.I","2020-01-31"
"441","[행위]치과 처치 및 수술료","","치관노출술(1치당)SURGICAL UNCOVERING","","JM0084T","100000","","","","","SURGICAL UNCOVERING(1치당)치관노출술","2020-01-31"
"442","[행위]치과 처치 및 수술료","","치면 열구 전색","","JM0045T","30000","","","","","Pit & fissure sealant","2020-01-31"
"443","[행위]치과 처치 및 수술료","","치아 매식 진단료","","JM0028T/JM0029T","","50000","100000","","","Dx of implant","2020-01-31"
"444","[행위]치과 처치 및 수술료","","치아 표백술","","JM0019T/JM0020T","","30000","50000","","","Teeth bleaching","2020-01-31"
"445","[행위]치과 처치 및 수술료","","치아매식 수리","","JM0039T/JM0040T","","50000","100000","","","implant repair, simple","2020-01-31"
"446","[행위]치과 처치 및 수술료","","치아매식, 유씨엘에이 스크류 교환","","JM0038T","100000","","","","","Implant, UCLA screw change fee","2020-01-31"
"447","[행위]치과 처치 및 수술료","","치아매식, 임시 레진치","","JM0041T/JM0042T","","50000","200000","","","Implant, temporary resin Cr.","2020-01-31"
"448","[행위]치과 처치 및 수술료","","치아매식, 자석체 교환","","JM0035T","300000","","","","","Implant, magnetic change fee","2020-01-31"
"449","[행위]치과 처치 및 수술료","","치아매식, 지대체 교환","","JM0036T","300000","","","","","Implant, abutment change fee","2020-01-31"
"450","[행위]치과 처치 및 수술료","","치아매식, 코핑 스크류 교환","","JM0037T","50000","","","","","Implant, coping screw change fee","2020-01-31"
"451","[행위]치과 처치 및 수술료","","치아지지 가철성 의치 오-링&이알에이 교환","","JM0033T","50000","","","","","Over denture O-ring & ERA 교환","2020-01-31"
"452","[행위]치과 처치 및 수술료","","치아지지 가철성 의치 자석체 교환","","JM0034T","200000","","","","","Over denture magnetic 교환","2020-01-31"
"453","[행위]치과 처치 및 수술료","","치아지지 가철성 의치 클립 교환","","JM0032T","50000","","","","","Over denture clip 교환","2020-01-31"
"454","[행위]치과 처치 및 수술료","","치주 테스트(인공치아 개당)","","JM0061T","50000","","","","","Perio test(인공치아 개당)","2020-01-31"
"455","[행위]치과 처치 및 수술료","","치태조절 및 예방술식","","JM0016T/JM0017T","","10000","30000","","","plaque control","2020-01-31"
"456","[행위]치과 처치 및 수술료","","탄성 의치상 이장술","","JM0012T","50000","","","","","Direct denture soft reline","2020-01-31"
"457","[행위]치과 처치 및 수술료","","포세린관 수리","","JM0004T/JM0005T","","100000","200000","","","P.F.M repair","2020-01-31"
"458","[행위]치과 처치 및 수술료","","피.알.피","","JM0031T","100000","","","","","P.R.P.","2020-01-31"
"459","[행위]치과의 보철료","","ERA,1ea","","JP0111G","280000","","","","","","2020-01-31"
"460","[행위]치과의 보철료","","F.D. Temporary","","JP0049G","350000","","","","","","2020-01-31"
"461","[행위]치과의 보철료","","F.D., resin plate,G (완전틀니-레진)","","JP0046G","1200000","","","","","","2020-01-31"
"462","[행위]치과의 보철료","","Locator","","JP0113G","400000","","","","","","2020-01-31"
"463","[행위]치과의 보철료","","Magnetic,1ea","","JP0112G","350000","","","","","","2020-01-31"
"464","[행위]치과의 보철료","","Pressure Injection Resin System","","JK0015M","100000","","","","","","2020-01-31"
"465","[행위]치과의 보철료","","Spark elosin","","JP0114G","160000","","","","","","2020-01-31"
"466","[행위]치과의 보철료","","가철성 국소의치, 고주파 비귀금속","","JP0032G","1400000","","","","","R.P.D., electronic non-Prec.,G","2020-01-31"
"467","[행위]치과의 보철료","","가철성 국소의치, 비귀금속","","JP0031G","1200000","","","","","R.P.D.,non-Prec.,G","2020-01-31"
"468","[행위]치과의 보철료","","가철성 의치 어테치먼트 교환, 재료대","","JK0001M","150000","","","","","R.D, Attachment Change, Mat","2020-01-31"
"469","[행위]치과의 보철료","","가철성 의치, 자석 교환, 재료대","","JK0002M","150000","","","","","R.D, Magnetic change, Mat","2020-01-31"
"470","[행위]치과의 보철료","","가철성 의치용 금속 교합면 인공치 (S-gold)","","JP0005G","250000","","","","","Atrficial gold crown for RD,G","2020-01-31"
"471","[행위]치과의 보철료","","경질 레진 구치, 재료대","","JK0013M","30000","","","","","Endura resin, post. Teeth, Mat","2020-01-31"
"472","[행위]치과의 보철료","","경질 레진 전치, 재료대","","JK0012M","20000","","","","","Endura resin, ant. Teeth, Mat","2020-01-31"
"473","[행위]치과의 보철료","","교합안정장치, 복잡","","JP0043G","600000","","","","","Occlusal splint, complex,G","2020-01-31"
"474","[행위]치과의 보철료","","금주조관, 메리랜드, 귀금속","","JP0015G","370000","","","","","Crown, Maryland, Prec.,G","2020-01-31"
"475","[행위]치과의 보철료","","노벨가이드(서지컬템플레이트)","","JK0016M/JK0017M","","1000000","1500000","","","Novel Guide(FinishedSurgicalTemplate임플란트","2020-01-31"
"476","[행위]치과의 보철료","크라운","도재소부전장관, 귀금속","","JP0009G/JP0008G","","450000","520000","","","Crown, PFG","2020-01-31"
"477","[행위]치과의 보철료","크라운","도재소부전장관, 무깃, 귀금속","","JP0011G","520000","","","","","","2020-01-31"
"478","[행위]치과의 보철료","크라운","도재소부전장관, 무깃, 비귀금속","","JP0010G","380000","","","","","","2020-01-31"
"479","[행위]치과의 보철료","크라운","도재소부전장관, 비귀금속","","JP0007G/JP0006G","","350000","370000","","","Crown, PFM,G","2020-01-31"
"480","[행위]치과의 보철료","","로케이터,G","","JP0063G","500000","","","","","Locator,G","2020-01-31"
"481","[행위]치과의 보철료","","매식술, MDI","","JP0086G","460000","","","","","Implant, MDI,G","2020-01-31"
"482","[행위]치과의 보철료","치과보철료","매식술, 밀드바,Gold,Fixtur","","JP0102G/JP0103G/JP0104G/JP0105G","","1500000","2700000","","","Implant, milled bar,G","2020-01-31"
"483","[행위]치과의 보철료","치과보철료","매식술, 밀드바,Titanium,Fixture","","JP0106G/JP0107G/JP0108G/JP0109G","","1200000","1800000","","","Implant, milled bar,Titanium,Fixture ,G","2020-01-31"
"484","[행위]치과의 보철료","","매식술, 오-링, E.R.A.,","","JP0085G","450000","","","","","Implant, O-ring, E.R.A.,G","2020-01-31"
"485","[행위]치과의 보철료","","매식술, 임시 MDI","","JP0087G","230000","","","","","Implant, Tem. MDI,G","2020-01-31"
"486","[행위]치과의 보철료","","매식술, 자성체","","JP0084G","500000","","","","","Implant, Magnetic,G","2020-01-31"
"487","[행위]치과의 보철료","","매식술, 헤더바","","JP0099G/JP0100G/JP0101G/JP0080G","","1150000","1800000","","","Implant, hader bar,G","2020-01-31"
"488","[행위]치과의 보철료","","매식술, 혼합형틀니","","JP0078G","2500000","","","","","Implant, Hybrid denture,,G","2020-01-31"
"489","[행위]치과의 보철료","","매식술, 혼합형틀니 ,Titanium,Fixture","","JP0096G/JP0097G/JP0098G","","1500000","2100000","","","Implant, Hybrid denture,Titanium,Fixture ,G","2020-01-31"
"490","[행위]치과의 보철료","치과임플란트(1치당)","매식술,국산,G","","JP0088G","1000000","","","","","Implant,국산,G","2020-01-31"
"491","[행위]치과의 보철료","치과임플란트(1치당)","매식치 A-gold 도재관","","JP0110G","570000","","","","","Implant crown, A-gold,G","2020-01-31"
"492","[행위]치과의 보철료","치과임플란트(1치당)","매식치 귀금속 도재관","","JP0074G","800000","","","","","Implant crown, PFG,G","2020-01-31"
"493","[행위]치과의 보철료","치과임플란트(1치당)","매식치 비귀금속 도재관","","JP0075G","600000","","","","","Implant crown, PFM,G","2020-01-31"
"494","[행위]치과의 보철료","치과임플란트(1치당)","매식치금관, 백금가공","","JP0072G","660000","","","","","Implant crown, Pt-gold,G","2020-01-31"
"495","[행위]치과의 보철료","치과임플란트(1치당)","매식치금관, 슈퍼골드","","JP0073G","620000","","","","","Implant crown, Super-gold,G","2020-01-31"
"496","[행위]치과의 보철료","","부착장치","","JP0053G/JP0054G/JP0055G","","300000","440000","","","Attachment,G","2020-01-31"
"497","[행위]치과의 보철료","","세미리지드 연결체","","JP0061G","150000","","","","","Semirigid joint,G","2020-01-31"
"498","[행위]치과의 보철료","","어태치먼트 국소 의치","","JP0036G/JP0037G","","1400000","1600000","","","R.P.D., Attachment,G","2020-01-31"
"499","[행위]치과의 보철료","","오버덴쳐 오-링 교환, 재료대","","JK0011M","20000","","","","","Overdenture O-ring change, Mat","2020-01-31"
"500","[행위]치과의 보철료","","오버덴쳐 클립 교환, 재료대","","JK0010M","10000","","","","","Overdenture clip change, Mat","2020-01-31"
"501","[행위]치과의 보철료","","의치 이장술, 간접법","","JP0040G/JP0041G","","190000","300000","","","Rebase, indirect,G","2020-01-31"
"502","[행위]치과의 보철료","","인공치매식, 유씨엘에이 스크류 교환, 재료대","","JK0007M","50000","","","","","Implant, UCLA screw change, Mat","2020-01-31"
"503","[행위]치과의 보철료","","인공치매식, 자석 교환, 재료대","","JK0003M","200000","","","","","Implant, Magnetic change, Mat","2020-01-31"
"504","[행위]치과의 보철료","","인공치매식, 지대치 교환,재료대","","JK0004M/JK0005M","","200000","400000","","","Implant, abutment change, Mat","2020-01-31"
"505","[행위]치과의 보철료","","인공치매식, 코핑 스크류 교환, 재료대","","JK0006M","30000","","","","","Implant, coping screw change, Mat","2020-01-31"
"506","[행위]치과의 보철료","","인공치매식, 크라운 재제작비,재료대","","JK0008M/JK0009M","","100000","200000","","","Implant, Cr. Remake fee, Mat","2020-01-31"
"507","[행위]치과의 보철료","","인레이, 귀금속","","JP0016G/JP0017G","","300000","350000","","","Inlay, Prec. Gold ,G","2020-01-31"
"508","[행위]치과의 보철료","","인레이, 포세라인 or 레진","","JP0018G/JP0019G","","270000","280000","","","Inlay, Por. or resin,G","2020-01-31"
"509","[행위]치과의 보철료","","임시 가철성 국소의치","","JP0033G","430000","","","","","R.P.D., Temporary,G","2020-01-31"
"510","[행위]치과의 보철료","","임시치, 복잡","","JP0042G","150000","","","","","Flipper, complex,G","2020-01-31"
"511","[행위]치과의 보철료","","임플란트 지지의치","","JP0076G/JP0077G","","1500000","1800000","","","Implant overdenture,G","2020-01-31"
"512","[행위]치과의 보철료","","자석장치","","JP0052G","340000","","","","","Attachment, Magnetic,G","2020-01-31"
"513","[행위]치과의 보철료","","전부도재관, 순면버니어","","JP0013G","400000","","","","","Crown, Laminate veneer,G","2020-01-31"
"514","[행위]치과의 보철료","크라운","전부도재관, 전세라믹","","JP0012G","470000","","","","","Crown, all ceramic,G","2020-01-31"
"515","[행위]치과의 보철료","크라운","주조관, N-C 합금","","JP0004G","250000","","","","","Crown, Metal,G","2020-01-31"
"516","[행위]치과의 보철료","","주조관, 메리랜드, 비귀금속","","JP0014G","290000","","","","","Crown, Maryland, non-Prec.,G","2020-01-31"
"517","[행위]치과의 보철료","크라운","주조금관, Pd 합금","","JP0003G","350000","","","","","Crown, Palladium,G","2020-01-31"
"518","[행위]치과의 보철료","크라운","주조금관, 금합금","","JP0121G","420000","","","","","Crown, Super - Gold,G","2020-01-31"
"519","[행위]치과의 보철료","크라운","주조금관, 백금합금","","JP0120G","460000","","","","","Crown, Gold - Pt,G","2020-01-31"
"520","[행위]치과의 보철료","","즉시 or 임시폐쇄장치","","JP0051G","400000","","","","","Interrim or immediate obturator,G","2020-01-31"
"521","[행위]치과의 보철료","","즉시총의치,망사","","JP0047G","600000","","","","","F.D., Immediate, mesh,G","2020-01-31"
"522","[행위]치과의 보철료","","즉치총의치,레진상","","JP0048G","500000","","","","","F.D., Immediate, resin plate,G","2020-01-31"
"523","[행위]치과의 보철료","","총의치, 귀금속편","","JP0044G","1600000","","","","","F.D., Prec., base metal,G","2020-01-31"
"524","[행위]치과의 보철료","","총의치, 비귀금속편, 망사 (완전틀니-티타늄)","","JP0045G","1400000","","","","","F.D., Mesh or base metal,G (완전틀니-티타늄)","2020-01-31"
"525","[행위]치과의 보철료","","최종폐쇄장치","","JP0050G","1500000","","","","","Definitive obturator, metal base,G","2020-01-31"
"526","[행위]치과의 보철료","치과임플란트(1치당)","치아 매식술, 단순","","JP0070G","1350000","","","","","Implant, simple,G","2020-01-31"
"527","[행위]치과의 보철료","치과임플란트(1치당)","치아 매식술, 복잡, ASTRA","","JP0071G","1450000","","","","","Implant, complex,G","2020-01-31"
"528","[행위]치과의 보철료","","치아 매식술, 복잡, NOBEL","","JP0092G","1500000","","","","","Implant, complex,G","2020-01-31"
"529","[행위]치과의 보철료","","치아지지가철성의치","","JP0034G/JP0035G","","1600000","1800000","","","R.P.D., Overdenture,G","2020-01-31"
"530","[행위]치과의 보철료","크라운","캐드캠 세라믹 크라운","","JP0116G","550000","","","","","CAD-CAM Ceramic crown,G","2020-01-31"
"531","[행위]치과의 보철료","치과임플란트(1치당)","캐드캠 세라믹 크라운,임플란트용","","JP0117G/JP0118G","","700000","800000","","","CAD-CAM Ceramic crown,임플란트용,G","2020-01-31"
"532","[행위]치과의 보철료","","코너스 텔레스코픽 크라운 밀링 기공비","","JK0014M","100000","","","","","Konus Telescopic Milling fee","2020-01-31"
"533","[행위]치과의 보철료","","코누스 텔레스코픽 내,외관 PD합금","","JP0058G","500000","","","","","Konus Teles. crown, inner&outer,Palladium,G","2020-01-31"
"534","[행위]치과의 보철료","","코누스 텔레스코픽 내,외관 귀금속","","JP0060G","650000","","","","","Konus Teles. crown, inner&outer,PFG,G","2020-01-31"
"535","[행위]치과의 보철료","","코누스 텔레스코픽 내,외관 금합금","","JP0057G","600000","","","","","Konus Teles. crown, inner&outer,Super G.,G","2020-01-31"
"536","[행위]치과의 보철료","","코누스 텔레스코픽 내,외관 백금합금","","JP0056G","700000","","","","","Konus Teles. crown, inner&outer,PT.G.,G","2020-01-31"
"537","[행위]치과의 보철료","","코누스 텔레스코픽 내,외관 비귀금속","","JP0059G","550000","","","","","Konus Teles. crown, inner&outer,PFM,G","2020-01-31"
"538","[행위]치과의 보철료","","테레스코픽 국소 의치","","JP0038G/JP0039G","","880000","1100000","","","R.P.D., Telescopic,G","2020-01-31"
"539","[행위]치과의 보철료","","편측가철성국소의치, 고주파비귀금속","","JP0028G","700000","","","","","R.P.D., Half, non-Prec. Elect.,G","2020-01-31"
"540","[행위]치과의 보철료","","편측가철성국소의치, 비귀금속","","JP0029G","600000","","","","","R.P.D., Half, non-Prec.,G","2020-01-31"
"541","[행위]치과의 보철료","","포스트관, 귀금속","","JP0020G/JP0021G","","230000","260000","","","Post&Core, gold,G","2020-01-31"
"542","[행위]치과의 보철료","","포스트관, 그래스화이버","","JP0023G","220000","","","","","Post&Core, glassfiber,G","2020-01-31"
"543","[행위]치과의 보철료","","포스트관, 파라 포스트","","JP0022G","180000","","","","","Post&Core, Para,G","2020-01-31"
"544","치료재료","내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질","HISTOACRYL 1050060","BB3001BP","","50710","","","","","","2020-01-31"
"545","치료재료","인체조직유래 2차 가공뼈","DBX PUTTY","BC0101AT","","","277749","772200","","","","2020-01-31"
"546","치료재료","발톱고정용 재료","K-D CLAMP","BC1301PE","","138000","","","","","","2020-01-31"
"547","치료재료","CRANIOFACIAL IMPLANTS","MEDPOR SHEET","BC7001BW","","","706500","850000","","","","2020-01-31"
"548","치료재료","CRANIOFACIAL IMPLANTS","MEDPOR CRANIAL PRODUCT","BC7005BW","","2400000","","","","","","2020-01-31"
"549","치료재료","기타 관절치환용 재료(골결손대체용)","Trabecular Metal Femoral Cone Augment","BE4303DL","","1940000","","","","","","2020-01-31"
"550","치료재료","척추고정용","MOBI-C","BF0002GZ","","3400000","","","","","","2020-01-31"
"551","치료재료","척추고정용","BAGUERA C","BF0003GZ","","4224000","","","","","","2020-01-31"
"552","치료재료","추간판내 고주파 열치료술","COOLIEF*TRANSDISCAL*COOLED RADIOFREQUENCY KIT","BF0200JH","","1958000","","","","","","2020-09-02"
"553","치료재료","추간판내 고주파 열치료술","YES DISC Catheter","BF0201SH","","1597688","","","","","","2020-01-31"
"554","치료재료","추간판내 고주파 열치료술","YES C DISC Catheter","BF0202SH","","1597688","","","","","","2020-01-31"
"555","치료재료","특수재질안구영역임플란트(녹내장 수술용)","OLOGEN","BI0641YD","","468000","","","","","","2021-03-25"
"556","치료재료","시아노아크릴레이트를 이용한 복재정맥 폐색술용","베나실 클로저 시스템","BJ4321DU","","1639000","","","","","","2021-11-24"
"557","치료재료","고주파 정맥내막 폐쇄요법용","Closure plus Cathet","BJ4301DU","","880000","","","X","X","","2020-01-31"
"558","치료재료","혈관내영상카테타","OPTICROSS CORONARY IMAGING CATHETER","BJ4503BM","","1090400","","","","","","2020-01-31"
"559","치료재료","혈관내영상카테타","OPTICROSS 18 PERIPHERAL IVUS","BJ4504BM","","1160000","","","","","","2021-11-09"
"560","치료재료","혈관내영상카테타","Opticross HD coronary Imaging cathter","BJ4505BM","","1350000","","","","","","2022-10-14"
"561","치료재료","혈관내영상카테타","Eagle Eye IVUS Catheter","BJ4504JT","","1419835","","","","","","2021-11-09"
"562","치료재료","혈관내영상카테타","Refinity IVUS Catheter","BJ4506JT","","1419830","","","","","","2021-11-09"
"563","치료재료","경막외강 신경박리술 및 감압 신경성형술용","HANARO(하나로 / ONE MEDTECH)","BJ4800TD","","673000","","","","","","2021-03-25"
"564","치료재료","경막외강 신경박리술 및 감압 신경성형술용","EDEN EPIDURAL CATHETER","BJ4801GV","","419990","","","","","","2020-01-31"
"565","치료재료","경막외강 신경박리술 및 감압 신경성형술용","ABEL EPIDURAL CATHETER","BJ4801GZ","","509976","","","","","","2020-01-31"
"566","치료재료","풍선확장 경막외강 유착박리술용","ASAN-ZINEU BALLOON CATHETER","BJ4801NX","","792000","","","","","","2020-01-31"
"567","치료재료","경막외강 신경박리술용","ST REED","BJ4801RA","","489832","","","","","","2020-01-31"
"568","치료재료","풍선확장 경막외강 유착박리술용","지뉴 에프 풍선 카테터","BJ4802NX","","220000","","","","","","2020-01-31"
"569","치료재료","내시경적 경막외강 신경근성형술용","VIDEO GUIDED CATHETER","BJ4802ZO","","1470000","","","","","","2021-03-25"
"570","치료재료","경막외강 신경박리술용","Episol","BJ4803GZ","","638624","","","","","","2020-01-31"
"571","치료재료","경막외강 신경박리술 및 감압 신경성형술용","BIOVISION","BJ4804XU","","700000","","","","","","2020-01-31"
"572","치료재료","풍선카테터 부비동/이관 성형술용","Earloon Eustachian Tube Dilation System","BJ4840ZI","","450000","","","","","","2022-01-17"
"573","치료재료","자착성(탄력)붕대","3M COBAN SELF-ADHERENT WRAP","BK7101EA","","","571","2968","","","","2020-01-31"
"574","치료재료","자착성(탄력)붕대","CEB IDEAL COHESIVE","BK7101IK","","13547","","","","","","2020-01-31"
