"상병코드","상병명","국비","사비",""
"T2422","발목 및 발을 제외한 엉덩이 및 다리의 2도 화상, 아래다리","1","0",""
"T426","기타 항뇌전증제 및 진정제0수면제에 의한 중독","1","0",""
"T609","상세불명의 유해생물방제제(농약)의 독성효과","1","0",""
"T71","질식","1","0",""
"T793","달리 분류되지 않은 외상후 상처감염","2","0",""
"T796","외상성 근육허혈","1","0",""
"T810","달리 분류되지 않은 처치에 합병된 출혈 및 혈종","2","2",""
"T812","달리 분류되지 않은 처치중의 우발적 천자 또는 열상","1","0",""
"T813","달리 분류되지 않은 수술상처의 파열","3","2",""
"T814","달리 분류되지 않은 처치에 따른 감염","4","0",""
"T818","달리 분류되지 않은 처치의 기타 합병증","4","0",""
"T828","심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 기타 명시된 합병증","3","2",""
"T840","내부인공관절의 기계적 합병증","2","3",""
"T842","기타 뼈의 내부고정장치의 기계적 합병증","2","0",""
"T844","기타 내부 정형외과적 장치, 삽입물 및 이식편의 기계적 합병증","1","0",""
"T845","내부인공관절에 의한 감염 및 염증반응","3","0",""
"T852","안구내렌즈(인공수정체)의 기계적 합병증","1","0",""
"T874","절단잘린끝의 감염","1","0",""
"T913","척수손상의 후유증","1","0",""
"T931","대퇴골골절의 후유증","1","0",""
"U071","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나019]","181","1788",""
"U072","바이러스가 확인되지 않은 코로나바이러스 질환 2019 [바이러스가 확인되지 않은 코로나019]","1","0",""
"U089","상세불명의 코로나019의 개인력","32","12",""
"U099","상세불명의 코로나019 이후 병태","21","10",""
"U821","메티실린 내성","11","0",""
"U822","광범위 베타락탐계내성","24","3",""
"U8280","카바페넴계내성","18","8",""
"U830","반코마이신 내성","6","1",""
"U831","기타 반코마이신과 관련된 항생제 내성","1","0",""
"U837","여러 항생제 내성","12","2",""
"U99","재발한 악성 신생물","13","1",""
"V039","교통사고인지 비교통사고인지 상세불명에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 보행자","1","0",""
"V180","비교통사고에서 비충돌 운수사고에서 다친 자전거 운전자","2","1",""
"V182","비교통사고에서 비충돌 운수사고에서 다친 상세불명의 자전거 탑승자","1","0",""
"V189","교통사고에서 비충돌 운수사고에서 다친 상세불명의 자전거 탑승자","1","3",""
"V199","상세불명의 교통사고에서 다친 [모든] 자전거 탑승자","1","1",""
"V280","비교통 사고에서 비충돌 운수사고에서 다친 모터사이클 운전자","1","0",""
"V289","교통사고에서 비충돌 운수사고에서 다친 상세불명의 모터사이클 탑승자","1","0",""
"V494","교통사고에서 기타 및 상세불명의 자동차와의 충돌로 다친 운전자","1","0",""
"V789","교통사고에서 비충돌 운수사고로 다친 상세불명의 버스 탑승자","2","0",""
"V849","비교통사고에서 다친 상세불명의 특수농업용 차량 탑승자","2","0",""
"V98","기타 명시된 운수사고","2","0",""
"V99","상세불명의 운수사고","7","0",""
"W010","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 주택","1","10",""
"W012","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 학교, 기타 시설 및 공공행정 구역","1","3",""
"W014","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 도로 및 고속도로","1","0",""
"W017","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 농장","2","0",""
"W018","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 기타 명시된 장소","1","3",""
"W019","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 상세불명 장소","9","51",""
"W028","스케이트, 스키, 롤러0스케이트, 또는 스케이트보드에 의한 낙상, 기타 명시된 장소","1","0",""
"W039","타인과 충돌이나 타인의 밀치기에 의한 동일 면상에서의 낙상, 상세불명 장소","1","0",""
"W052","휠체어가 관여된 낙상, 학교, 기타 시설 및 공공행정 구역","1","0",""
"W059","휠체어가 관여된 낙상, 상세불명 장소","1","0",""
"W060","침대가 관여된 낙상, 주택","3","0",""
"W062","침대가 관여된 낙상, 학교, 기타 시설 및 공공행정 구역","1","1",""
"W069","침대가 관여된 낙상, 상세불명 장소","3","5",""
"W079","의자가 관여된 낙상, 상세불명 장소","2","0",""
"W100","계단에서의 낙상, 주택","5","0",""
"W109","계단에서의 낙상, 상세불명 장소","9","6",""
"W119","사다리에서의 낙상, 상세불명 장소","3","1",""
"W130","빌딩 또는 구조물에서의 낙상, 주택","1","0",""
"W149","나무에서의 낙상, 상세불명 장소","2","0",""
"W177","기타 한면에서 다른 면으로 넘어짐, 농장","1","0",""
"W179","기타 한면에서 다른 면으로 넘어짐, 상세불명 장소","5","1",""
"W180","동일면상에서 기타 넘어짐, 주택","3","4",""
"W189","동일면상에서 기타 넘어짐, 상세불명 장소","4","2",""
"W190","상세불명의 낙상, 주택","6","3",""
"W191","상세불명의 낙상, 집단거주시설","2","0",""
"W192","상세불명의 낙상, 학교, 기타 시설 및 공공행정 구역","6","1",""
"W196","상세불명의 낙상, 산업 및 건설지역","1","0",""
"W197","상세불명의 낙상, 농장","1","0",""
"W198","상세불명의 낙상, 기타 명시된 장소","3","0",""
"W199","상세불명의 낙상, 상세불명 장소","56","19",""
"W209","던져진, 쏘아진 또는 떨어지는 물체에 의한 타격, 상세불명 장소","2","0",""
"W220","다른 물체에 의한 타격, 주택","1","0",""
"W222","다른 물체에 의한 타격, 학교, 기타 시설 및 공공행정 구역","1","1",""
"W229","다른 물체에 의한 타격, 상세불명 장소","2","4",""
"W239","물체 속이나 사이에 붙잡힘, 으깨짐, 뭉개짐 또는 끼임, 상세불명 장소","1","0",""
"W279","무동력 손공구와 접촉, 상세불명 장소","3","0",""
"W299","기타 동력손공구 및 가정용 기계류와의 접촉, 상세불명 장소","1","0",""
"W511","타인과 부딪힘 또는 받힘, 집단거주시설","1","0",""
"W513","타인과 부딪힘 또는 받힘, 운동 및 경기장","1","0",""
"W549","개에 물림 또는 부딪힘, 상세불명 장소","1","0",""
"W559","기타 포유동물에 의한 물림 또는 부딪힘, 상세불명 장소","1","0",""
"W999","기타 및 상세불명의 인공환경 요인에 노출, 상세불명 장소","1","0",""
"X009","건물 또는 구조물 안에서 관리되지 않은 불에 노출, 상세불명 장소","1","0",""
"X129","기타 뜨거운 용액과 접촉, 상세불명 장소","1","0",""
"X169","뜨거운 난방장치, 방열기 및 파이프와 접촉, 상세불명 장소","1","0",""
"X480","유해생물방제제(농약)에 의한 불의의 중독 및 노출, 주택","1","0",""
"X500","과잉노력 및 격심한 또는 반복적 운동, 주택","1","0",""
"X503","과잉노력 및 격심한 또는 반복적 운동, 운동 및 경기장","1","0",""
"X509","과잉노력 및 격심한 또는 반복적 운동, 상세불명 장소","3","4",""
"X588","기타 명시된 요인에 노출, 기타 명시된 장소","1","0",""
"X589","기타 명시된 요인에 노출, 상세불명 장소","4","0",""
"X5909","골절을 초래하는 상세불명의 요인에 노출, 상세불명 장소","2","1",""
"X5997","기타 및 상세불명의 손상을 초래하는 상세불명의 요인에 노출, 농장","1","0",""
"X5999","기타 및 상세불명의 손상을 초래하는 상세불명의 요인에 노출, 상세불명 장소","4","19",""
"X5999","기타 및 상세불명의 손상을 초래하는 상세불명의 요인에 노출, 상세불명 장소","19","6",""
"X610","달리 분류되지 않은 항뇌전증제, 진정제0수면제, 항파킨슨제 및 정신작용제에 의한 자의의 중독 및 노출, 주택","1","0",""
"Y444","치료용으로 사용시 유해작용을 나타내는 항혈전제[혈소판응집억제제]","1","0",""
"Y575","치료용으로 사용시 유해작용을 나타내는 X0선 대조물질","1","0",""
"Y600","외과적 수술 도중에 생긴 비의도적 절단, 천자, 천공 또는 출혈","1","0",""
"Y605","심장카테터삽입 도중에 생긴 비의도적 절단, 천자, 천공 또는 출혈","1","0",""
"Y831","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 인공 내부장치 이식의 외과적 수술","8","4",""
"Y832","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 연결, 우회로 또는 이식의 외과적 수술","3","0",""
"Y835","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 사지의 절단","1","0",""
"Y836","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 기타 기관의 (부분)(전체)절제","1","0",""
"Y838","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 기타 외과적 처치","4","4",""
"Y848","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 기타 의학적 처치","3","1",""
"Y850","자동차사고의 후유증","1","1",""
"Y870","의도적 자해의 후유증","3","0",""
"Z031","의심되는 악성 신생물에 대한 관찰, 배제된","80","38",""
"Z038","기타 의심되는 질환 및 병태의 관찰, 배제된","25","55",""
"Z080","악성 신생물에 대한 수술후 추적검사","2","0",""
"Z088","악성 신생물에 대한 기타 치료후 추적검사","1","0",""
"Z098","기타 병태에 대한 기타 치료후 추적검사","2","0",""
"Z115","기타 바이러스질환에 대한 특수선별검사","7","21",""
"Z208","기타 전염성 질환에 접촉 및 노출","28","52",""
"Z223","기타 명시된 세균성 질환의 보균자","3","0",""
"Z229","상세불명의 감염성 질환의 보균자","1","0",""
"Z290","격리","106","27",""
"Z470","골절판 및 기타 내부고정장치의 제거를 포함한 추적치료를 위하여 보건서비스와 접하고 있는 사람","17","18",""
"Z4780","관절치환술에 따른 후치료를 위하여 보건서비스와 접하고 있는 사람","3","0",""
"Z4788","기타 명시된 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","8","3",""
"Z479","상세불명의 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","1","1",""
"Z488","기타 명시된 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","16","1",""
"Z489","상세불명의 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","3","0",""
"Z501","기타 물리요법을 위하여 보건서비스와 접하고 있는 사람","4","1",""
"Z509","상세불명의 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","152","21",""
"Z515","완화의료를 위하여 보건서비스와 접하고 있는 사람","54","156",""
"Z538","기타 이유로 실행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","25","14",""
"Z540","수술후 회복기","5","9",""
"Z544","골절치료후 회복기","1","0",""
"Z548","기타 치료후 회복기","1","0",""
"Z751","다른 곳의 적당한 시설에 입원을 기다리는 사람","2","0",""
"Z753","보건시설을 이용하지 못하거나 갈 수 없는 문제","53","82",""
"Z850","소화기관의 악성 신생물의 개인력","7","0",""
"Z851","기관, 기관지 및 폐의 악성 신생물의 개인력","2","0",""
"Z896","무릎위 다리의 후천성 결여","1","0",""
"Z902","폐[일부]의 후천성 결여","7","1",""
"Z903","위 일부의 후천성 결여","1","0",""
"Z904","소화관의 기타 부분의 후천성 결여","4","0",""
"Z933","결장조루상태","2","1",""
"Z942","폐이식상태","1","0",""
"Z944","간이식상태","4","0",""
"Z950","심장전자장치의 존재","1","1",""
"Z951","대동맥관상동맥우회로이식편의 존재","6","3",""
"Z955","관상동맥혈관성형 삽입물 및 이식편의 존재","171","0",""
"Z961","안구내렌즈의 존재","59","35",""
"Z9664","무릎관절삽입물의 존재","2","0",""
"Z988","기타 명시된 수술후 상태","8","0",""
