"상병코드","상  병  명","국비","사비"
"S62140","큰마름뼈의 골절, 폐쇄성","0","1"
"S62170","갈고리뼈의 골절, 폐쇄성","0","1"
"S62320","기타 중수골 바닥의 골절, 폐쇄성","2","0"
"S62330","기타 중수골 몸통의 골절, 폐쇄성","0","1"
"S62340","기타 중수골 목의 골절, 폐쇄성","1","0"
"S62630","기타 손가락의 중지골 골절, 폐쇄성","0","1"
"S62641","기타 손가락의 원위지골 골절, 개방성","2","0"
"S6359","손목의 상세불명 부분의 염좌 및 긴장","0","1"
"S6628","손목 및 손 부위의 엄지손가락의 신근 및 힘줄의 손상, 기타 및 상세불명의 손상","0","1"
"S6638","손목 및 손 부위의 기타 손가락의 신근 및 힘줄의 손상, 기타 및 상세불명의 손상","0","1"
"S700","엉덩이의 타박상","5","1"
"S701","대퇴의 타박상","2","0"
"S709","엉덩이 및 대퇴의 상세불명 표재성 손상","0","1"
"S72040","대퇴골 골두하구역의 골절, 폐쇄성","0","2"
"S72050","대퇴골 중경부 구역의 골절, 폐쇄성","1","0"
"S72060","대퇴골 경부바닥의 골절, 폐쇄성","0","4"
"S72080","기타 대퇴골 경부 부분의 골절, 폐쇄성","0","7"
"S72090","대퇴골 경부의 상세불명 부분의 골절, 폐쇄성","0","8"
"S72120","대퇴골전자간골절, 폐쇄성","5","12"
"S72190","대퇴골전자부의 상세불명 골절, 폐쇄성","5","13"
"S7221","전자하골절, 개방성","1","0"
"S7231","대퇴골 몸통의 골절, 개방성","0","1"
"S72490","대퇴골 하단의 상세불명 부분의 골절, 폐쇄성","0","3"
"S7280","대퇴골의 기타 부분의 골절, 페쇄성","1","0"
"S7290","대퇴골의 상세불명 부분의 골절, 폐쇄성","1","1"
"S7319","고관절의 상세불명 부위의 염좌 및 긴장","2","0"
"S789","엉덩이 및 대퇴의 상세불명 부위의 외상성 절단","2","0"
"S800","무릎의 타박상","1","1"
"S801","아래다리의 기타 및 상세불명 부분의 타박상","0","2"
"S810","무릎의 열린상처","1","0"
"S818","아래다리의 기타 부분의 열린상처","0","1"
"S8200","무릎뼈의 골절, 폐쇄성","1","3"
"S82180","경골 상단의 기타 골절, 폐쇄성","0","1"
"S82220","비골골절(모든 부분)을 동반한 경골 몸통의 골절, 폐쇄성","0","1"
"S82320","비골 골절(모든 부분)을 동반한 경골 하단의 골절, 폐쇄성","0","2"
"S82430","비골만의 몸통의 골절, 폐쇄성","1","0"
"S8250","안쪽복사의 골절, 폐쇄성","0","2"
"S8260","외측복사의 골절의 골절, 폐쇄성","6","8"
"S82830","삼복사골절, 발목, 폐쇄성","0","3"
"S8320","내측반달연골의 찢김","1","1"
"S8321","외측반달연골의 찢김","2","1"
"S8322","내측 및 외측 반달연골의 찢김","1","0"
"S8341","내측측부인대의 염좌 및 긴장","1","0"
"S8349","상세불명의 측부인대의 염좌 및 긴장","0","1"
"S8353","후십자인대의 파열","1","1"
"S8608","아킬레스힘줄의 손상, 기타 및 상세불명의 손상","2","0"
"S880","무릎 부위의 외상성 절단","2","0"
"S903","발의 기타 및 상세불명 부분의 타박상","2","1"
"S910","발목의 열린상처","1","0"
"S912","발톱의 손상이 있는 발가락의 열린상처","1","0"
"S9200","종골의 골절, 폐쇄성","2","3"
"S9210","거골의 골절, 폐쇄성","1","0"
"S9230","중족골의 골절, 폐쇄성","3","2"
"S9240","엄지발가락 골절, 폐쇄성","0","2"
"S9241","엄지발가락의 골절, 개방성","0","1"
"S9251","기타 발가락의 골절, 개방성","1","0"
"S9290","발의 상세불명 골절, 폐쇄성","1","0"
"S9348","발목의 기타 부분의 염좌 및 긴장","0","1"
"S9349","발목의 상세불명 부분의 염좌 및 긴장","1","0"
"T093","척수의 상세불명 부위의 손상","2","0"
"T141","상세불명의 신체부위의 열린상처","0","1"
"T149","상세불명의 손상","0","1"
"T182","위의 이물","1","1"
"T189","소화관의 상세불명 부분의 이물","1","0"
"T191","방광의 이물","0","1"
"T211","몸통의 1도 화상","1","0"
"T213","몸통의 3도 화상","1","0"
"T2420","발목 및 발을 제외한 엉덩이 및 다리의 2도 화상, 대퇴부","1","0"
"T252","발목 및 발의 2도 화상","2","0"
"T300","상세불명 정도의 상세불명 신체부위의 화상","1","0"
"T810","달리 분류되지 않은 처치에 합병된 출혈 및 혈종","2","3"
"T813","달리 분류되지 않은 수술상처의 파열","1","0"
"T814","달리 분류되지 않은 처치에 따른 감염","0","3"
"T8188","달리 분류되지 않은 처치의 기타 합병증","1","0"
"T840","내부인공관절의 기계적 합병증","0","1"
"T845","내부인공관절에 의한 감염 및 염증반응","2","3"
"T846","내부고정장치[모든 부위]에 의한 감염 및 염증반응","2","2"
"T848","내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 기타 합병증","2","2"
"T873","절단잘린끝의 신경종","4","0"
"T874","절단잘린끝의 감염","3","0"
"T876","절단잘린끝의 기타 및 상세불명의 합병증","1","0"
"T905","두개내손상의 후유증","2","0"
"T908","머리의 기타 명시된 손상의 후유증","4","0"
"T913","척수손상의 후유증","4","0"
"T930","다리의 열린상처의 후유증","2","0"
"T936","다리의 으깸손상 및 외상성 절단의 후유증","4","0"
"V090","기타 및 상세불명의 자동차에 관여된 비교통사고에서 다친 보행자","0","1"
"V114","교통사고에서 다른 자전거와 충돌로 다친 자전거 운전자","1","0"
"V134","교통사고에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 자전거 운전자","0","1"
"V180","비교통사고에서 비충돌 운수사고에서 다친 자전거 운전자","1","1"
"V184","교통사고에서 비충돌 운수사고에서 다친 자전거 운전자","2","2"
"V189","교통사고에서 비충돌 운수사고에서 다친 상세불명의 자전거 탑승자","0","1"
"V280","비교통 사고에서 비충돌 운수사고에서 다친 모터사이클 운전자","1","1"
"V283","모터사이클 승하차중 비충돌 운수사고에서 다친 사람","0","1"
"V284","교통사고에서 비충돌 운수사고에서 다친 모터사이클 운전자","1","0"
"V298","기타 명시된 운수사고에서 다친 [모든] 모터사이클 탑승자","1","0"
"V299","상세불명의 교통사고에서 다친 [모든]모터싸이클 탑승자","0","1"
"V393","상세불명의 비교통사고에서 다친 [모든]삼륜자동차 탑승자","1","0"
"V425","교통사고에서 이륜 또는 삼륜자동차와 충돌로 다친 승용차 운전자","0","1"
"V432","비교통사고에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 승용차 차량밖의 사람","0","1"
"V435","교통사고에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 승용차 운전자","0","2"
"V437","교통사고에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 승용차 차량밖의 사람","0","1"
"V476","교통사고에서 고정 또는 정지된 물체와의 충돌로 다친 승용차 승객","0","1"
"V484","승용차 승하차중 비충돌 운수사고에서 다친 사람","0","2"
"V493","상세불명의 비교통사고에서 다친 [모든] 승용차 탑승자","0","1"
"V495","교통사고에서 기타 및 상세불명의 자동차와의 충돌로 다친 승객","0","1"
"V496","교통사고에서 기타 및 상세불명의 자동차와의 충돌로 다친 상세불명의 승용차 탑승자","0","1"
"V583","비교통사고에서 비충돌 운수사고에서 다친 상세불명의 픽업트럭 또는 밴의 탑승자","0","1"
"V693","상세불명의 비교통사고에서 다친 [모든] 대형화물차 탑승자","0","1"
"V784","버스 승하차중 비충돌 운수사고에서 다친 사람","1","0"
"V840","교통사고에서 다친 특수농업용 차량 운전자","1","0"
"V845","비교통사고에서 다친 특수농업용 차량 운전자","1","0"
"V847","비교통사고에서 다친 특수농업용 차량 외부에 있는 사람","2","0"
"V849","비교통사고에서 다친 상세불명의 특수농업용 차량 탑승자","2","1"
"V888","비교통성 자동차가 관여된 기타 명시된 비충돌 운수사고에서 다친 사람","2","2"
"V899","상세불명의 차량사고에서 다친 사람","0","1"
"W000","얼음 또는 눈에 의한 동일 면상에서의 낙상, 주택","1","0"
"W004","얼음 또는 눈에 의한 동일 면상에서의 낙상, 도로 및 고속도로","2","0"
"W008","얼음 또는 눈에 의한 동일 면상에서의 낙상, 기타 명시된 장소","0","1"
"W010","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 주택","6","30"
"W011","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 집단 거주시설","0","4"
"W012","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 학교, 기타 시설 및 공공행정 구역","0","2"
"W014","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 도로 및 고속도로","2","5"
"W015","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 상업 및 서비스 구역","2","1"
"W017","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 농장","1","1"
"W018","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 기타 명시된 장소","8","5"
"W019","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상, 상세불명 장소","6","24"
"W039","타인과 충돌이나 타인의 밀치기에 의한 동일 면상에서의 낙상, 상세불명 장소","0","1"
"W042","타인에 의한 운반이나 지지를 받는 동안 낙상, 학교, 기타 시설 및 공공행정 구역","1","0"
"W060","침대가 관여된 낙상, 주택","5","2"
"W061","침대가 관여된 낙상, 집단거주시설","1","1"
"W062","침대가 관여된 낙상, 학교, 기타 시설 및 공공행정 구역","0","1"
"W069","침대가 관여된 낙상, 상세불명 장소","1","0"
"W070","의자가 관여된 낙상, 주택","2","1"
"W075","의자가 관여된 낙상, 상업 및 서비스 구역","0","1"
"W079","의자가 관여된 낙상, 상세불명 장소","0","2"
"W080","기타 가구가 관여된 낙상, 주택","1","0"
"W100","계단에서의 낙상, 주택","1","3"
"W109","계단에서의 낙상, 상세불명 장소","5","10"
"W110","사다리에서의 낙상, 주택","1","2"
"W116","사다리에서의 낙상, 산업 및 건설지역","0","1"
"W119","사다리에서의 낙상, 상세불명 장소","5","1"
"W130","빌딩 또는 구조물에서의 낙상, 주택","0","1"
"W148","나무에서의 낙상, 기타 명시된 장소","0","1"
"W149","나무에서의 낙상, 상세불명 장소","0","1"
"W170","기타 한면에서 다른 면으로 넘어짐, 주택","1","2"
"W174","기타 한면에서 다른 면으로 넘어짐, 도로 및 고속도로","1","0"
"W177","기타 한면에서 다른 면으로 넘어짐, 농장","1","0"
"W178","기타 한면에서 다른 면으로 넘어짐, 기타 명시된 장소","1","0"
"W179","기타 한면에서 다른 면으로 넘어짐, 상세불명 장소","3","0"
"W180","동일면상에서 기타 넘어짐, 주택","14","28"
"W181","동일면상에서 기타 넘어짐, 집단거주시설","0","3"
"W183","동일면상에서 기타 넘어짐, 운동 및 경기장","0","2"
"W184","동일면상에서 기타 넘어짐, 도로 및 고속도로","0","4"
"W187","동일면상에서 기타 넘어짐, 농장","1","0"
"W188","동일면상에서 기타 넘어짐, 기타 명시된 장소","2","2"
"W189","동일면상에서 기타 넘어짐, 상세불명 장소","7","12"
"W196","상세불명의 낙상, 산업 및 건설지역","1","0"
"W199","상세불명의 낙상, 상세불명 장소","1","1"
"W206","던져진, 쏘아진 또는 떨어지는 물체에 의한 타격, 산업 및 건설지역","0","1"
"W209","던져진, 쏘아진 또는 떨어지는 물체에 의한 타격, 상세불명 장소","1","1"
"W220","다른 물체에 의한 타격, 주택","1","1"
"W224","다른 물체에 의한 타격, 도로 및 고속도로","2","1"
"W229","다른 물체에 의한 타격, 상세불명 장소","2","0"
"W235","물체 속이나 사이에 붙잡힘, 으깨짐, 뭉개짐 또는 끼임, 상업 및 서비스 구역","0","1"
"W239","물체 속이나 사이에 붙잡힘, 으깨짐, 뭉개짐 또는 끼임, 상세불명 장소","2","0"
"W259","날카로운 유리와 접촉, 상세불명 장소","0","1"
"W288","동력잔디깎기와의 접촉, 기타 명시된 장소","1","0"
"W289","동력잔디깎기와의 접촉, 상세불명 장소","1","0"
"W299","기타 동력손공구 및 가정용 기계류와의 접촉, 상세불명 장소","0","1"
"W307","농업용기계와 접촉, 농장","1","0"
"W319","기타 및 상세불명의 기계류와 접촉, 상세불명 장소","0","1"
"W449","눈 또는 인체의 개구부를 통하여 들어온 이물, 상세불명 장소","1","1"
"W456","피부를 통하여 들어온 이물 또는 물체, 산업 및 건설지역","1","0"
"W511","타인과 부딪힘 또는 받힘, 집단거주시설","0","1"
"X082","기타 명시된 연기, 불 및 불꽃에 노출, 학교, 기타 시설 및 공공행정 구역","1","0"
"X129","기타 뜨거운 용액과 접촉, 상세불명 장소","1","0"
"X150","뜨거운 가정기기와 접촉, 주택","1","0"
"X279","기타 명시된 독액성 동물과 접촉, 상세불명 장소","0","1"
"X500","과잉노력 및 격심한 또는 반복적 운동, 주택","1","2"
"X502","과잉노력 및 격심한 또는 반복적 운동, 학교, 기타 시설 및 공공행정 구역","1","1"
"X503","과잉노력 및 격심한 또는 반복적 운동, 운동 및 경기장","0","2"
"X504","과잉노력 및 격심한 또는 반복적 운동, 도로 및 고속도로","1","0"
"X507","과잉노력 및 격심한 또는 반복적 운동, 농장","0","1"
"X509","과잉노력 및 격심한 또는 반복적 운동, 상세불명 장소","5","11"
"X5900","골절을 초래하는 상세불명의 요인에 노출, 주택","0","3"
"X5901","골절을 초래하는 상세불명의 요인에 노출, 집단거주시설","1","0"
"X5909","골절을 초래하는 상세불명의 요인에 노출, 상세불명 장소","8","14"
"X5994","기타 및 상세불명의 손상을 초래하는 상세불명의 요인에 노출, 도로 및 고속도로","0","1"
"X5999","기타 및 상세불명의 손상을 초래하는 상세불명의 요인에 노출, 상세불명 장소","2","4"
"X782","예리한 물체에 의한 의도적 자해, 학교, 기타 시설 및 공공행정 구역","0","1"
"Y604","내시경검사 도중에 생긴 비의도적 절단, 천자, 천공 또는 출혈","0","2"
"Y831","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 인공 내부장치 이식의 외과적 수술","0","1"
"Y838","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 기타 외과적 처치","4","4"
"Y846","처치 당시에는 재난에 대한 언급이 없었으나 환자의 이상반응 또는 이후 합병증의 원인이 된 요로카테터삽입","0","1"
"Z080","악성 신생물에 대한 수술후 추적검사","12","1"
"Z088","악성 신생물에 대한 기타 치료후 추적검사","0","4"
"Z090","기타 병태에 대한 수술후 추적검사","2","0"
"Z094","골절치료후 추적검사","1","2"
"Z431","위조루에 대한 관리를 위하여 보건서비스와 접하고 있는 사람","1","1"
"Z470","골절판 및 기타 내부고정장치의 제거를 포함한 추적치료를 위하여 보건서비스와 접하고 있는 사람","16","19"
"Z4780","관절치환술에 따른 후치료를 위하여 보건서비스와 접하고 있는 사람","1","0"
"Z4788","기타 명시된 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","5","2"
"Z501","기타 물리요법를 위하여 보건서비스와 접하고 있는 사람","3","2"
"Z508","기타 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","52","20"
"Z509","상세불명의 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","29","5"
"Z511","신생물에 대한 화학요법기간를 위하여 보건서비스와 접하고 있는 사람","4","5"
"Z512","기타 화학요법를 위하여 보건서비스와 접하고 있는 사람","12","0"
"Z515","완화의료를 위하여 보건서비스와 접하고 있는 사람","31","124"
"Z530","금기증 때문에 수행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","21","11"
"Z532","기타 및 상세불명의 이유로 인한 환자의 의사결정 때문에 수행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","0","3"
"Z538","기타 이유로 실행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","0","2"
"Z539","상세불명의 이유로 실행되지 못한 처치를 위하여 보건서비스와 접하고 있는 사람","1","0"
"Z542","화학요법후 회복기","1","0"
"Z850","소화기관의 악성 신생물의 개인력","12","0"
"Z851","기관, 기관지 및 폐의 악성 신생물의 개인력","1","0"
"Z858","기타 기관 또는 계통의 악성 신생물의 개인력","1","0"
"Z900","머리 및 목 일부의 후천성 결여","1","0"
"Z903","위 일부의 후천성 결여","4","3"
"Z904","소화관의 기타 부분의 후천성 결여","4","0"
"Z905","신장의 후천성 결여","1","0"
"Z906","요로의 기타 기관의 후천성 결여","1","0"
"Z908","기타 기관의 후천성 결여","1","0"
"Z932","회장조루상태","1","0"
"Z940","신장이식상태","1","0"
"Z944","간이식상태","1","1"
"Z950","심장전자장치의 존재","1","0"
"Z955","관상동맥혈관성형 삽입물 및 이식편의 존재","28","7"
"Z961","안구내렌즈의 존재","23","9"
"Z9888","기타 명시된 수술후 상태","23","16"
"U234","중풍후유증(中風後遺證)","2","0"
"U303","항강(項强)","2","0"
"U99","재발한 악성 신생물","2","3"
